L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,requested_device,resolved_route,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,0.382353,739.656674,0.794262,84.500999,0.025814,,0.0,0.0,67.512287,1.566806,0.382353,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t1/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007224,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t1/iostat.log,0.393939,1479.894376,0.794574,0.051647,0.0,0.0,0.0,17308,60000,1,131.104737,3.119324,60.0,0.0,60.0,0.018,0,60000,1,83.0,88.0,410.0,98.0,31776,1000,,default-heuristic,17308,0.025814,11612.112305,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,1,60000,1,1
100,,800.295562,0.0,188.662994,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t4/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007128,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t4/iostat.log,0.0,1601.374915,0.0,0.0,0.0,0.0,0.0,18872,60000,1,0.0,0.0,60.0,0.0,60.0,0.149,0,60000,1,187.0,204.0,570.0,232.0,34016,1000,,default-heuristic,18872,0.0,20859.009766,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,4,60000,4,1
100,0.333333,848.257863,0.39731,622.294006,0.0,,0.0,0.0,2.979829,0.11252,0.333333,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t8/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.006769,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t8/iostat.log,0.333333,1697.931788,0.793959,0.0,0.0,0.0,0.0,21504,60000,1,5.954691,0.224852,60.0,0.0,60.0,0.689,0,60000,1,633.0,719.0,1074.0,857.0,36572,1000,,default-heuristic,21504,0.0,12714.708008,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.001,0.001,0.001,intersect,8,60000,8,1
100,0.111111,521.599704,0.794314,155.817993,0.001324,0.111111,5.957357,0.025857,0.0,0.0,0.111111,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t1/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.510737,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t1/iostat.log,0.111111,1464.294342,2.384197,0.003974,0.111111,17.881478,0.077611,17164,60000,1,0.0,0.0,300.0,0.0,96.0,0.478,0,60000,1,155.0,163.0,832.0,182.0,31804,1000,,default-heuristic,17164,0.001324,6331.82666,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,0.111111,5.957357,0.025857,,10,nvme1n1,prefilter,0,auto,4,0.005,0.005,0.005,intersect,1,60000,1,1
100,0.333333,781.423695,0.397166,316.558014,0.000993,,0.0,0.0,2.978743,0.089207,0.333333,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t4/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007136,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t4/iostat.log,0.333333,1563.612889,0.793943,0.001985,0.0,0.0,0.0,18820,60000,1,5.954572,0.178327,300.0,0.0,96.0,0.866,0,60000,1,317.0,349.0,706.0,368.0,34068,1000,,default-heuristic,18820,0.000993,12500.199219,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.005,0.005,0.005,intersect,4,60000,4,1
100,0.2,554.438162,0.529929,874.265991,0.000662,,0.0,0.0,3.312056,0.186303,0.2,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t8/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.509636,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t8/iostat.log,0.25,1653.449255,0.795059,0.001987,0.0,0.0,0.0,21472,60000,1,7.949275,0.520119,300.0,0.0,96.0,1.164,0,60000,1,870.0,978.0,1339.0,1021.0,36548,1000,,default-heuristic,21472,0.000662,9069.739258,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,4,0.005,0.005,0.005,intersect,8,60000,8,1
100,0.227273,410.508614,0.794213,228.470993,0.002482,0.1875,7.942126,0.034902,2.978297,0.191961,0.227273,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t1/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.014574,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t1/iostat.log,0.333333,1444.328143,2.384035,0.007947,0.1875,31.787139,0.13969,17196,60000,1,5.960089,0.550998,600.0,0.0,128.0,1.022,0,60000,1,228.0,236.0,627.0,266.0,31796,1000,,default-heuristic,17196,0.002482,4326.518555,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,0.1875,7.942126,0.034902,,10,nvme1n1,prefilter,0,auto,5,0.01,0.01,0.01,intersect,1,60000,1,1
100,,764.563412,0.0,427.789001,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t4/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.007111,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t4/iostat.log,0.0,1529.881827,0.0,0.0,0.0,0.0,0.0,18832,60000,1,0.0,0.0,600.0,0.0,128.0,1.331,0,60000,1,418.0,516.0,995.0,560.0,33828,1000,,default-heuristic,18832,0.0,9261.589844,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,3,0.01,0.01,0.01,intersect,4,60000,4,1
100,0.375,788.341081,0.529532,1182.577026,0.001986,,0.0,0.0,5.295322,0.10601,0.375,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t8/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.510767,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t8/iostat.log,0.5,1565.665543,0.794754,0.005961,0.0,0.0,0.0,21448,60000,1,11.921311,0.178509,600.0,0.0,128.0,2.098,0,60000,1,1182.0,1295.0,1756.0,1393.0,36752,1000,,default-heuristic,21448,0.001986,6723.282227,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,4,0.01,0.01,0.01,intersect,8,60000,8,1
100,0.180952,301.439579,2.250043,419.880005,0.005956,0.168317,33.419756,0.146056,1.323555,0.025851,0.180952,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u5/t1/block_latency.log,,,,,unavailable_no_events,,5.0%,0.05,0.05,u5,1000,0.05,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.022165,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u5/t1/iostat.log,0.5,1499.982707,12.715085,0.031788,0.168317,200.659938,0.876956,17104,60000,1,7.940422,0.155086,3000.0,0.0,160.0,2.009,0,60000,1,414.0,430.0,1281.0,617.0,32020,1000,,default-heuristic,17104,0.005956,2326.593018,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u5/queries.spmat,0.168317,33.419756,0.146056,,10,nvme1n1,prefilter,0,auto,7,0.05,0.05,0.05,intersect,1,60000,1,1
