L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_qd,avg_read_await_ms,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,await_ms,beamwidth,block_latency_count,block_latency_log,block_latency_mean_ms,block_latency_p50_ms,block_latency_p95_ms,block_latency_p99_ms,block_latency_status,block_latency_trace_dev,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,disk_metrics_reason,disk_metrics_status,disk_sanity_read_bytes,effective_device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,iostat_log,max_await_ms,max_cpu_pct,max_disk_util_pct,max_qd,max_read_await_ms,max_read_iops,max_read_mb_s,max_rss_kb,max_tau_m,max_threshold_version,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qdepth,qps,query_count,query_label_file,read_await_ms,read_iops,read_mb_s,recall,recall_at,requested_device,resolved_route,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,tau_m,threads,threshold_version
100,0.166667,345.106241,0.317704,331.522003,0.001589,,0.0,0.0,7.148346,0.062052,0.166667,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t1/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.518065,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t1/iostat.log,0.333333,1497.934107,0.794121,0.005956,0.0,0.0,0.0,17392,60000,1,29.777909,0.170612,60.0,0.0,60.0,0.117,0,60000,1,317.0,359.0,1103.0,561.0,31800,1000,,default-heuristic,17392,0.001589,2994.756592,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,6,0.001,0.001,0.001,intersect,1,60000,1,1
100,,629.592894,0.0,636.392029,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t4/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,1.5105,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t4/iostat.log,0.0,1500.11502,0.0,0.0,0.0,0.0,0.0,18812,60000,1,0.0,0.0,60.0,0.0,60.0,0.908,0,60000,1,617.0,763.0,1196.0,1014.0,34080,1000,,default-heuristic,18812,0.0,6246.1875,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,4,0.001,0.001,0.001,intersect,4,60000,4,1
100,0.5,721.704498,0.397086,1723.713013,0.0,,0.0,0.0,0.992716,0.036839,0.5,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t8/block_latency.log,,,,,unavailable_no_events,,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.014675,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p1/t8/iostat.log,0.5,1438.499273,1.587814,0.0,0.0,0.0,0.0,21448,60000,1,3.969535,0.147307,60.0,0.0,60.0,2.019,0,60000,1,1685.0,2074.0,2677.0,2261.0,36704,1000,,default-heuristic,21448,0.0,4615.58252,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,5,0.001,0.001,0.001,intersect,8,60000,8,1
100,0.0,247.948772,0.198558,547.669983,0.000248,,0.0,0.0,0.496394,0.01939,0.0,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t1/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,4.029058,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t1/iostat.log,0.0,1492.125146,1.588442,0.001986,0.0,0.0,0.0,17204,60000,1,3.971105,0.155121,300.0,0.0,96.0,1.02,0,60000,1,528.0,714.0,1148.0,898.0,31800,1000,,default-heuristic,17204,0.000248,1817.283813,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,9,0.005,0.005,0.005,intersect,1,60000,1,1
100,0.0,513.985631,0.159006,1060.401001,0.000398,,0.0,0.0,1.192542,0.029503,0.0,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t4/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.515635,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t4/iostat.log,0.0,1647.392632,0.793977,0.001985,0.0,0.0,0.0,18880,60000,1,5.954829,0.14732,300.0,0.0,96.0,1.251,0,60000,1,1019.0,1301.0,1870.0,1600.0,34032,1000,,default-heuristic,18880,0.000398,3753.297119,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,6,0.005,0.005,0.005,intersect,4,60000,4,1
100,1.0,680.846315,0.158983,2833.746094,0.000397,,0.0,0.0,0.794917,0.023289,1.0,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t8/block_latency.log,,,,,unavailable_no_events,,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,2.515986,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u0p5/t8/iostat.log,1.0,1813.771246,0.797649,0.001994,0.0,0.0,0.0,21444,60000,1,3.988247,0.116843,300.0,0.0,96.0,2.524,0,60000,1,2759.0,3339.0,4120.0,3528.0,36712,1000,,default-heuristic,21444,0.000397,2812.79834,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,6,0.005,0.005,0.005,intersect,8,60000,8,1
100,0.75,215.811968,0.238247,731.554993,0.001191,,0.0,0.0,1.588313,0.031797,0.75,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t1/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,5.036792,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t1/iostat.log,1.0,1468.289565,0.794744,0.009925,0.0,0.0,0.0,17236,60000,1,9.925356,0.170746,600.0,0.0,128.0,1.315,0,60000,1,711.0,910.0,1369.0,1098.0,31884,1000,,default-heuristic,17236,0.001191,1361.356689,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,11,0.01,0.01,0.01,intersect,1,60000,1,1
100,,480.616965,0.0,1446.245972,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t4/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.019036,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t4/iostat.log,0.0,1644.965538,0.0,0.0,0.0,0.0,0.0,18808,60000,1,0.0,0.0,600.0,0.0,128.0,1.779,0,60000,1,1402.0,1730.0,2164.0,1949.0,33892,1000,,default-heuristic,18808,0.0,2756.054199,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,7,0.01,0.01,0.01,intersect,4,60000,4,1
100,,673.229261,0.0,3265.571045,0.0,,0.0,0.0,0.0,0.0,,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t8/block_latency.log,,,,,unavailable_no_events,,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,3.019774,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u1/t8/iostat.log,0.0,1818.542353,0.0,0.0,0.0,0.0,0.0,21408,60000,1,0.0,0.0,600.0,0.0,128.0,2.803,0,60000,1,3147.0,4331.0,5129.0,4611.0,36948,1000,,default-heuristic,21408,0.0,2441.311279,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,7,0.01,0.01,0.01,intersect,8,60000,8,1
100,0.555556,184.042581,0.283579,1046.515991,0.001985,,0.0,0.0,3.828313,0.050402,0.555556,4,,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u5/t1/block_latency.log,,,,,unavailable_no_events,,5.0%,0.05,0.05,u5,1000,0.05,100,auto,fashion_mnist784,nvme1c1n1,remapped static counter nvme1n1 to active counter nvme1c1n1,ok,67108864,nvme1c1n1,7.052716,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,/mnt/bak3/lzg/PipeANN-github/experiments/io_representative_20260514/fashion_mnist784/thread_sweep/u5/t1/iostat.log,2.0,1499.923044,0.794661,0.013892,0.0,0.0,0.0,17140,60000,1,35.722594,0.317844,3000.0,0.0,160.0,2.266,0,60000,1,1009.0,1261.0,2031.0,1570.0,32000,1000,,default-heuristic,17140,0.001985,945.604614,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u5/queries.spmat,,0.0,0.0,,10,nvme1n1,prefilter,0,auto,15,0.05,0.05,0.05,intersect,1,60000,1,1
