L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,beamwidth,bottleneck_evidence,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,max_await_ms,max_cpu_pct,max_disk_util_pct,max_read_iops,max_read_mb_s,max_rss_kb,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qps,query_count,query_label_file,recall,recall_at,returncode,route,sample_count,selectivity_group,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,threads
100,,346.612248,0.0,303.714996,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1n1,2.507124,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1441.427354,0.0,0.0,0.0,17056,0.0,0.0,60.0,0.0,60.0,1.1,0,1483.0,31920,1000,,default-heuristic,17056,3228.128174,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,10,0,auto,6,low,0.001,0.001,0.001,intersect,1,1
100,,458.030046,0.0,454.993988,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1n1,2.006419,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1440.505649,0.0,0.0,0.0,17476,0.0,0.0,60.0,0.0,60.0,1.397,0,1498.0,32604,1000,,default-heuristic,17476,4327.09082,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,10,0,auto,5,low,0.001,0.001,0.001,intersect,2,2
100,,619.331751,0.0,685.877991,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1n1,1.504848,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1470.114675,0.0,0.0,0.0,18820,0.0,0.0,60.0,0.0,60.0,1.838,0,1756.0,33984,1000,,default-heuristic,18820,5752.759277,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,10,0,auto,4,low,0.001,0.001,0.001,intersect,4,4
100,,736.914321,0.0,1717.80896,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,1.0e-03,0.001,0.001,u0p1,1000,0.001,100,auto,fashion_mnist784,nvme1n1,2.005661,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1506.367051,0.0,0.0,0.0,21480,0.0,0.0,60.0,0.0,60.0,2.091,0,2809.0,36668,1000,,default-heuristic,21480,4621.289062,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p1/queries.spmat,,10,0,auto,5,low,0.001,0.001,0.001,intersect,8,8
100,,249.199119,0.0,553.098999,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1n1,4.012855,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1504.253841,0.0,0.0,0.0,17152,0.0,0.0,300.0,0.0,96.0,1.434,0,1430.0,32060,1000,,default-heuristic,17152,1783.118652,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,10,0,auto,9,low,0.005,0.005,0.005,intersect,1,1
100,,362.835399,0.0,801.682983,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1n1,3.009629,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1560.085331,0.0,0.0,0.0,17444,0.0,0.0,300.0,0.0,96.0,2.103,0,1777.0,32612,1000,,default-heuristic,17444,2444.7146,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,10,0,auto,7,low,0.005,0.005,0.005,intersect,2,2
100,,540.8412,0.0,1147.790039,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1n1,2.006134,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1637.901263,0.0,0.0,0.0,18712,0.0,0.0,300.0,0.0,96.0,2.449,0,2305.0,33892,1000,,default-heuristic,18712,3452.874512,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,10,0,auto,5,low,0.005,0.005,0.005,intersect,4,4
100,,705.369485,0.0,2487.858887,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,5.0e-03,0.005,0.005,u0p5,1000,0.005,100,auto,fashion_mnist784,nvme1n1,2.507905,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1867.136349,0.0,0.0,0.0,21476,0.0,0.0,300.0,0.0,96.0,2.755,0,4176.0,36876,1000,,default-heuristic,21476,3186.799072,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u0p5/queries.spmat,,10,0,auto,6,low,0.005,0.005,0.005,intersect,8,8
100,,218.909981,0.0,794.366028,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1n1,5.01576,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1500.12107,0.0,0.0,0.0,17004,0.0,0.0,600.0,0.0,128.0,2.026,0,3474.0,31784,1000,,default-heuristic,17004,1247.811279,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,10,0,auto,11,low,0.01,0.01,0.01,intersect,1,1
100,,334.355398,0.0,1072.853027,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1n1,3.511234,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1555.967082,0.0,0.0,0.0,17464,0.0,0.0,600.0,0.0,128.0,2.156,0,1995.0,32704,1000,,default-heuristic,17464,1839.406982,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,10,0,auto,8,low,0.01,0.01,0.01,intersect,2,2
